id;id_doi;discipline;count
704;82;Mathematics;1
705;82;Social Sciences;8
706;82;Psychology;15
707;83;Business, Management and Accounting;57
708;83;Materials Science;1
709;83;Economics, Econometrics and Finance;2
710;83;Chemical Engineering;1
711;83;Unspecified;17
712;83;Engineering;2
713;83;Biochemistry, Genetics and Molecular Biology;1
714;83;Computer Science;1
715;83;Social Sciences;6
716;83;Psychology;6
717;84;Business, Management and Accounting;52
718;84;Materials Science;1
719;84;Psychology;18
720;84;Unspecified;14
721;84;Medicine and Dentistry;1
722;84;Biochemistry, Genetics and Molecular Biology;1
723;84;Chemical Engineering;1
724;84;Arts and Humanities;1
725;84;Neuroscience;1
726;84;Agricultural and Biological Sciences;1
727;84;Social Sciences;5
728;84;Economics, Econometrics and Finance;2
729;85;Business, Management and Accounting;124
730;85;Materials Science;1
731;85;Psychology;5
732;85;Sports and Recreations;1
733;85;Philosophy;1
734;85;Unspecified;32
735;85;Computer Science;4
736;85;Arts and Humanities;2
737;85;Agricultural and Biological Sciences;1
738;85;Social Sciences;11
739;85;Economics, Econometrics and Finance;7
740;86;Business, Management and Accounting;115
741;86;Psychology;14
742;86;Sports and Recreations;2
743;86;Unspecified;23
744;86;Engineering;1
745;86;Computer Science;5
746;86;Agricultural and Biological Sciences;1
747;86;Social Sciences;15
748;86;Economics, Econometrics and Finance;5
749;87;Business, Management and Accounting;15
750;87;Engineering;2
751;87;Social Sciences;2
752;87;Environmental Science;1
753;88;Business, Management and Accounting;3
754;89;Business, Management and Accounting;31
756;89;Economics, Econometrics and Finance;1
757;89;Unspecified;11
758;89;Engineering;1
759;89;Arts and Humanities;2
760;89;Social Sciences;19
761;89;Psychology;12
762;90;Business, Management and Accounting;34
763;90;Nursing and Health Professions;1
764;90;Engineering;2
765;90;Medicine and Dentistry;1
766;90;Biochemistry, Genetics and Molecular Biology;1
767;90;Unspecified;7
768;90;Social Sciences;7
769;91;Business, Management and Accounting;58
770;91;Economics, Econometrics and Finance;4
771;91;Nursing and Health Professions;1
772;91;Unspecified;12
773;91;Computer Science;2
774;91;Arts and Humanities;1
775;91;Social Sciences;4
